"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CROPYIELD","RICE","TONNE_HA","A","1990",8.315,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1991",8.395,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1992",8.094,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1993",8.336,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1994",8.538,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1995",7.051,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1996",8.257,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1997",9.007,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1998",9.203,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1999",8.275,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2000",9.283,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2001",8.278,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2002",9.319,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2003",8.379,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2004",6.647,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2005",9.833,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2006",8.15,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2007",8.501,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2008",8.461,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2009",10.39,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2010",9.544,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2011",8.91,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2012",10.275,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2013",10.939,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2014",9.91,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2015",10.306,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2016",9.821,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2017",10.386,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2018",8.771,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2019",9.574,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2020",8.305,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2021",8.388,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2022",8.471,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2023",8.557,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2024",8.642,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2025",8.729,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2026",8.816,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2027",8.905,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2028",8.994,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2029",9.084,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2030",9.175,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1990",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1991",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1992",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1993",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1994",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1995",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1996",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1997",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1998",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1999",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2000",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2001",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2002",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2003",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2004",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2005",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2006",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2007",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2008",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2009",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2010",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2011",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2012",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2013",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2014",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2015",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2016",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2017",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2018",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2019",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2020",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2021",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2022",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2023",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2024",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2025",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2026",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2027",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2028",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2029",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2030",0,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1990",4.586,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1991",4.247,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1992",4.549,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1993",3.318,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1994",4.907,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1995",4.598,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1996",4.74,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1997",4.651,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1998",4.507,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1999",4.649,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2000",4.858,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2001",4.81,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2002",4.771,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2003",4.24,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2004",4.65,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2005",4.819,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2006",4.592,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2007",4.719,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2008",4.913,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2009",4.728,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2010",4.76,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2011",4.924,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2012",4.981,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2013",4.94,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2014",4.963,
